ForayNL Name,Mycobank Name,Value
Ramalina roesleri,Ramalina roesleri,0
Ramalina thrausta,Ramalina thrausta,0
Ramboldia cinnabarina,Ramboldia cinnabarina,0
Rhizocarpon atroflavescens,Rhizocarpon atroflavescens,0
Rhizocarpon expallescens,Rhizocarpon expallescens,0
Rhizocarpon geminatum,Rhizocarpon geminatum,0
Rhizocarpon geographicum,Rhizocarpon geographicum,0
Rhizocarpon hochstetteri,Rhizocarpon hochstetteri,0
Rhizocarpon lavatum,Rhizocarpon lavatum,0
Rhizocarpon lecanorinum,Rhizocarpon lecanorinum,0
Rhizocarpon macrosporum,Rhizocarpon macrosporum,0
Rhizocarpon reductum,Rhizocarpon reductum,0
Rhizocarpon rubescens,Rhizocarpon rubescens,0
Rhizocarpon sp.,,3
Rinodina ascociscana,Rinodina ascociscana,0
Rinodina mniaraea,Rinodina mniaraea,0
Rinodina tephraspis,Rinodina tephraspis,0
Romjularia lurida,Romjularia lurida,0
Ropalospora chlorantha,Ropalospora chlorantha,0
Rusavskia elegans,Rusavskia elegans,0
Sarcosagium campestre,Sarcosagium campestre,0
Sarea resinae (Zythia resinae),,3
Scytinium lichenoides,Scytinium lichenoides,0
Scytinium subtile,Scytinium subtile,0
Scytinium tenuissimum,Scytinium tenuissimum,0
Scytinium teretiusculum,Scytinium teretiusculum,0
Solarina saccata,Solorina saccata,2
Sphaerophorus fragilis,Sphaerophorus fragilis,0
Sphaerophorus globosus,Sphaerophorus globosus,0
Sphaerophorus sp.,,3
Sphinctrina turbinata,Sphinctrina turbinata,0
Staurothele fissa,Staurothele fissa,0
Stenocybe major,Stenocybe major,0
Stenocybe pullatula,Stenocybe pullatula,0
Stereocaulon alpinum,Stereocaulon alpinum,0
Stereocaulon condensatum,Stereocaulon condensatum,0
Stereocaulon dactylophyllum,Stereocaulon dactylophyllum,0
Stereocaulon glaucescens,Stereocaulon glaucescens,0
Stereocaulon paschale,Stereocaulon paschale,0
Stereocaulon pileatum,Stereocaulon pileatum,0
Stereocaulon saxatile,Stereocaulon saxatile,0
Stereocaulon subcoralloides,Stereocaulon subcoralloides,0
Stereocaulon tomentosum,Stereocaulon tomentosum,0
Stereocaulon vesuvianum,Stereocaulon vesuvianum,0
Thamnolia vermicularis,Thamnolia vermicularis,0
Thelotrema lepadinum,Thelotrema lepadinum,0
Trapelia placodioides,Trapelia placodioides,0
Trapeliopsis flexuosa,Trapeliopsis flexuosa,0
Trapeliopsis granulosa,Trapeliopsis granulosa,0
Tuckermannopsis americana,Tuckermannopsis americana,0
Tuckermannopsis orbata,Tuckermannopsis orbata,0
Tuckermannopsis sepincola,Tuckermannopsis sepincola,0
Tuckermannopsis sp.,,3
Umbilicaria cylindrica,Umbilicaria cylindrica,0
Umbilicaria hyperborea,Umbilicaria hyperborea,0
Umbilicaria mammulata,Umbilicaria mammulata,0
Umbilicaria muhlenbergii,Umbilicaria muhlenbergii,0
Umbilicaria polyphylla,Umbilicaria polyphylla,0
Umbilicaria proboscidea,Umbilicaria proboscidea,0
Umbilicaria torrefacta,Umbilicaria torrefacta,0
Usnea dasypoga (U. filipendula),,3
Usnea longissima (Dolichousnea longissima),,3
Usnea rubicunda,Usnea rubicunda,0
Usnea silesiaca,Usnea silesiaca,0
Usnea sp.,,3
Usnea subfloridana,Usnea subfloridana,0
Varicellaria rhodocarpa,Varicellaria rhodocarpa,0
Verrucaria muralis,Verrucaria muralis,0
Vulpicida juniperinus,Vulpicida juniperinus,0
Vulpicida pinastri,Vulpicida pinastri,0
Xanthoparmelia conspersa,Xanthoparmelia conspersa,0
Xanthoparmelia hypofusca,Xanthoparmelia hypofusca,0
Xanthoparmelia viriduloumbrina,Xanthoparmelia viriduloumbrina,0
Xanthoria candelaria (Polycauliona candelaria),,3
Xanthoria elegans (Rusavskia elegans),,3
Xanthoria parietina,Xanthoria parietina,0
Xylographa abietina,Xylographa abietina,0
Xylographa opegraphella,Xylographa opegraphella,0
Xylographa parallela ,Xylographa parallela,1
Xylographa sp.,,3
Xylographa vitiligo,Xylographa vitiligo,0
Agaricus arvensis,Agaricus arvensis,0
Agaricus bitorquis,Agaricus bitorquis,0
Agaricus campestris,Agaricus campestris,0
Agaricus haemorrhoidarius,Agaricus haemorrhoidarius,0
Agaricus micromegethus,Agaricus micromegethus,0
Agaricus silvaticus,Agaricus silvaticus,0
Agaricus silvicola,Agaricus silvicola,0
Agrocybe erebia,Agrocybe erebia,0
Agrocybe paludosa,Agrocybe paludosa,0
Agrocybe pediades,Agrocybe pediades,0
Albatrellopsis confluens,Albatrellopsis confluens,0
Albatrellus caeruleoporus,Albatrellus caeruleoporus,0
Albatrellus ovinus,Albatrellus ovinus,0
Albatrellus peckianus,Albatrellus peckianus,0
Aleuria aurantia,Aleuria aurantia,0
Aleurodiscus amorphus,Aleurodiscus amorphus,0
Aleurodiscus laurentianus,Aleurodiscus laurentianus,0
Aleurodiscus penicillatus,Aleurodiscus penicillatus,0
Alloclavaria purpurea,Alloclavaria purpurea,0
Alnicola geraniolens,Alnicola geraniolens,0
Alnicola melinoides,Alnicola melinoides,0
Alnicola sphagneti,Alnicola sphagneti,0
Alnicola tantilla,Alnicola tantilla,0
Alpova cinnamomeus,Alpova cinnamomeus,0
Alutaceodontia alutacea,Alutaceodontia alutacea,0
"Amanita ""virosa""",Amanita virosa,2
Amanita albocreata,Amanita albocreata,0
Amanita amerivirosa,Amanita amerivirosa,0
Amanita bisporigera,Amanita bisporigera,0
Amanita brunnescens,Amanita brunnescens,0
Amanita brunnescens var. pallida,Amanita brunnescens var. pallida,0
Amanita ceciliae,Amanita ceciliae,0
Amanita elongata,Amanita elongata,0
Amanita flavoconia,Amanita flavoconia,0
Amanita frostiana,Amanita frostiana,0
Amanita fulva,Amanita fulva,0
Amanita groenlandica,Amanita groenlandica,0
Amanita mortenii,Amanita mortenii,0
Amanita muscaria var. guessowii,Amanita muscaria var. guessowii,0
Amanita nivalis,Amanita nivalis,0
Amanita porphyria,Amanita porphyria,0
Amanita rhacopus,Amanita rhacopus,0
Amanita rubescens,Amanita rubescens,0
Amanita rubescens var. alba,Amanita rubescens var. alba,0
Amanita sinicoflava,Amanita sinicoflava,0
"Amanita sp. ""GRL02""",,3
"Amanita sp. ""NFL02""",,3
"Amanita sp. ""NFL03""",,3
"Amanita sp. ""NFL04""",,3
"Amanita sp. ""NFL05""",,3
"Amanita sp. ""NFL06""",,3
"Amanita sp. ""NFL09""",,3
"Amanita sp. ""NFL10""",,3
"Amanita sp. ""NFL11""",,3
"Amanita sp. ""precocious amanita""",,3
Amanita vaginata,Amanita vaginata,0
Amanita vaginata var. alba,Amanita vaginata var. alba,0
Amanita variicolor,Amanita variicolor,0
Amanita wellsii,Amanita wellsii,0
Amphinema byssoides,Amphinema byssoides,0
Ampulloclitocybe clavipes,Ampulloclitocybe clavipes,0
Amylocorticium subsulphureum,Amylocorticium subsulphureum,0
Amylostereum chailletii,Amylostereum chailletii,0
Anomoporia myceliosa,Anomoporia myceliosa,0
Anthracoidea heterospora ,Anthracoidea heterospora,1
Anthracoidea karii,Anthracoidea karii,0
Anthracoidea laxae,Anthracoidea laxae,0
Antrodia heteromorpha,Antrodia heteromorpha,0
Antrodia serialis,Antrodia serialis,0
Antrodia sitchensis,Antrodia sitchensis,0
Antrodia variiformis,Antrodia variiformis,0
Antrodiella canadensis,Antrodiella canadensis,0
Antrodiella hoehnelii,Antrodiella hoehnelii,0
Antrodiella romellii,Antrodiella romellii,0
Aphroditeola olida,Aphroditeola olida,0
Apiosporina morbosa,Apiosporina morbosa,0
Arcyria incarnata,Arcyria incarnata,0
Armillaria ostoyae,Armillaria ostoyae,0
Armillaria sinapina,Armillaria sinapina,0
Arrhenia acerosa,Arrhenia acerosa,0
Arrhenia auriscalpium,Arrhenia auriscalpium,0
Arrhenia fusconigra,Arrhenia fusconigra,0
Arrhenia griseopallida,Arrhenia griseopallida,0
Arrhenia obatra,Arrhenia obatra,0
Arrhenia obscurata,Arrhenia obscurata,0
Arrhenia onisca,Arrhenia onisca,0
Arrhenia peltigerina,Arrhenia peltigerina,0
Arrhenia philonotis,Arrhenia philonotis,0
Arrhenia retiruga,Arrhenia retiruga,0
Arrhenia rustica,Arrhenia rustica,0
Arrhenia sphagnicola,Arrhenia sphagnicola,0
Arrhenia velutipes,Arrhenia velutipes,0
Ascobolus ciliatus,Ascobolus ciliatus,0
Ascobolus furfuraceus,Ascobolus furfuraceus,0
